Ext.1(Strain)	Stress	
%	        N/mm2
0.8587322	232.051
0.8598255	232.1406
0.8616167	232.2292
0.8630799	232.2924
0.8667884	232.3929
0.8677555	232.4535
0.8692945	232.5157
0.8718172	232.6146
0.872448	232.682
0.8729441	232.7488
0.8726413	232.8275
0.8809751	232.8933
0.8817151	232.9897
0.8814712	233.0497
0.8840193	233.1425
0.8823037	233.23
0.8854741	233.2937
0.8872401	233.387
0.8881903	233.4673
0.8890817	233.5336
0.8921007	233.6175
0.8924454	233.6916
0.8925548	233.7812
0.8991141	233.8563
0.9000392	233.9102
0.9013173	233.9962
0.9033356	234.0687
0.9072459	234.1713
0.9086083	234.2252
0.908356	234.3106
0.9103406	234.3847
0.9126448	234.4448
0.9122664	234.5277
0.9139483	234.6023
0.9145874	234.7204
0.9195825	234.7794
0.9222062	234.852
0.9218698	234.9328
0.9244515	235.0105
0.9272014	235.0732
0.9290767	235.1224
0.9317173	235.2172
0.9291524	235.2933
0.9338616	235.3617
0.9349212	235.4467
0.9367461	235.5109
0.9385793	235.5726
0.9395968	235.6487
0.9418926	235.7414
0.9452059	235.815
0.9455254	235.8989
0.9474596	235.9657
0.9482165	236.0289
0.9495451	236.1108
0.9521437	236.1885
0.9530687	236.2563
0.954246	236.3408
0.9547422	236.3983
0.9603848	236.4661
0.9625965	236.562
0.9649848	236.635
0.9666666	236.6884
0.9662799	236.7692
0.9673983	236.8308
0.969652	236.9137
0.9690969	236.9977
0.9727718	237.0562
0.9745126	237.1334
0.9744033	237.2188
0.9795246	237.2981
0.9808028	237.3789
0.9824175	237.4379
0.9841834	237.5131
0.9850159	237.6084
0.9882535	237.6638
0.9901204	237.7389
0.9914995	237.8083
0.992618	237.8643
0.9940644	237.9456
0.994754	238.0207
0.9984626	238.0767
1.000313	238.1534
1.001751	238.2378
1.002163	238.3005
1.002995	238.3771
1.005114	238.4538
1.006056	238.5445
1.007477	238.6097
1.01106	238.6802
1.014163	238.7543
1.014482	238.8076
1.014314	238.8936
1.020361	238.9428
1.018687	238.9988
1.020874	239.0904
1.020478	239.1733
1.020192	239.2231
1.02438	239.2858
1.027912	239.3748
1.030847	239.4494
1.035001	239.5152
1.038373	239.5846
1.039652	239.6587
1.038163	239.7276
1.03908	239.8095
1.03929	239.8867
1.041989	239.9519
1.045202	240.0193
1.045563	240.097
1.048675	240.1571
1.049861	240.2197
1.053788	240.2912
1.053939	240.3544
1.05647	240.4161
1.054873	240.5047
1.057976	240.5627
1.058564	240.6347
1.062895	240.6829
1.064955	240.7616
1.062626	240.8393
1.066208	240.9149
1.068395	240.9937
1.06863	241.0491
1.070724	241.1372
1.07635	241.1926
1.075257	241.2755
1.080042	241.3237
1.078478	241.4019
1.081404	241.4672
1.08365	241.5371
1.084743	241.6024
1.087602	241.6738
1.088771	241.7422
1.089687	241.8034
1.091756	241.8748
1.093673	241.9355
1.095776	242.0137
1.09766	242.0893
1.097735	242.1551
1.10014	242.2318
1.103798	242.2836
1.104126	242.354
1.107011	242.4126
1.111569	242.4727
1.107187	242.5555
1.111409	242.6239
1.113091	242.6861
1.113091	242.7431
1.112485	242.828
1.114159	242.8948
1.117405	242.9611
1.122577	243.0135
1.12515	243.0725
1.12298	243.145
1.122207	243.2171
1.129598	243.2808
1.129943	243.3533
1.131011	243.43
1.132231	243.5092
1.135594	243.5579
1.137015	243.6387
1.137629	243.6962
1.138243	243.7682
1.142246	243.8112
1.143844	243.8998
1.146518	243.9542
1.146316	244.0179
1.147822	244.0982
1.15132	244.1536
1.153372	244.2163
1.153859	244.307
1.15708	244.3438
1.158947	244.4126
1.161941	244.4831
1.163303	244.5546
1.164245	244.6043
1.166659	244.681
1.168046	244.7488
1.170048	244.8177
1.171511	244.8778
1.171847	244.9509
1.173806	244.999
1.17733	245.0586
1.180273	245.1311
1.179525	245.2161
1.180349	245.2767
1.180122	245.3399
1.184823	245.3922
1.186446	245.4756
1.188969	245.5435
1.192332	245.6114
1.192467	245.6564
1.193375	245.7191
1.195831	245.8139
1.196276	245.8388
1.199724	245.9123
1.200431	245.9641
1.201263	246.048
1.203281	246.1087
1.204963	246.1713
1.207789	246.247
1.209916	246.2874
1.211178	246.3521
1.215147	246.4371
1.214878	246.4863
1.216299	246.5593
1.219183	246.6205
1.22063	246.6749
1.223069	246.7505
1.223775	246.8344
1.226096	246.8971
1.228795	246.9447
1.230099	246.9991
1.231167	247.0634
1.232109	247.1416
1.233521	247.2038
1.23422	247.2706
1.234472	247.3022
1.237844	247.3669
1.240821	247.4369
1.242646	247.4799
1.24363	247.5368
1.245068	247.5726
1.247565	247.6612
1.249995	247.7316
1.249945	247.7979
1.24981	247.8762
1.254797	247.9539
1.257312	248.0041
1.258018	248.0766
1.258817	248.1352
1.261163	248.2056
1.265073	248.2823
1.26694	248.3341
1.271877	248.3761
1.267605	248.4579
1.267075	248.5149
1.271212	248.5714
1.27498	248.646
1.276796	248.6822
1.279487	248.7584
1.281236	248.8438
1.281758	248.8811
1.281993	248.9562
1.282506	249.0194
1.285702	249.078
1.290007	249.1417
1.290773	249.1914
1.290344	249.2583
1.293758	249.3085
1.298047	249.3463
1.299914	249.4308
1.298652	249.4929
1.301032	249.5546
1.301638	249.6333
1.30131	249.6732
1.306431	249.7307
1.309214	249.7851
